employee_id,expense_date,expense_category,origin_iata,destination_iata,ticket_class,hotel_city,hotel_country,nights,transport_vendor,distance_km,amount,currency
EMP001,2024-03-01,FLIGHT,LHR,JFK,BUSINESS,,,,,,1250.00,GBP
EMP001,2024-03-02,HOTEL,,,,,New York,United States,3,,,220.00,USD
EMP001,2024-03-05,GROUND_TRANSPORT,,,,,,,Uber,18.5,35.00,USD
EMP001,2024-03-05,FLIGHT,JFK,LHR,ECONOMY,,,,,,830.00,GBP
EMP002,2024-03-10,FLIGHT,BOM,DXB,ECONOMY,,,,,,410.00,INR
EMP002,2024-03-10,HOTEL,,,,,,UAE,2,,,180.00,USD
EMP002,2024-03-12,GROUND_TRANSPORT,,,,,,,Hertz,95.0,120.00,USD
EMP002,2024-03-12,FLIGHT,DXB,DEL,BUSINESS,,,,,,620.00,INR
EMP003,2024-03-15,FLIGHT,CDG,SIN,FIRST,,,,,,1800.00,EUR
EMP003,2024-03-16,HOTEL,,,,,,Singapore,5,,,350.00,SGD
EMP003,2024-03-21,GROUND_TRANSPORT,,,,,,,National Rail,42.0,28.50,GBP
EMP003,2024-03-21,FLIGHT,SIN,CDG,ECONOMY,,,,,,980.00,EUR
EMP004,2024-03-18,FLIGHT,MAN,EDI,ECONOMY,,,,,,85.00,GBP
EMP004,2024-03-18,HOTEL,,,,,,Scotland,1,,,95.00,GBP
EMP004,2024-03-19,GROUND_TRANSPORT,,,,,,,Uber,12.3,18.00,GBP
EMP005,2024-03-20,FLIGHT,DEL,LHR,BUSINESS,,,,,,1100.00,INR
EMP005,2024-03-21,HOTEL,,,,,,United Kingdom,4,,,210.00,GBP
EMP005,2024-03-25,GROUND_TRANSPORT,,,,,,,Addison Lee,35.0,65.00,GBP
EMP005,2024-03-25,FLIGHT,LHR,DEL,ECONOMY,,,,,,890.00,INR
